id,0,1,2,3,4,5,6,7
66,5.20,61 Cygni,Cyg,011.41,K5,0.7,0.665,0.153
67,5.4,R Doradus,Dor,0178,M8,0.7 - 1.0,298,"4,350"
68,5.47,Polaris Australis,Oct,0281,F0,1.59,3.74,38
69,5.71,R Coronae Borealis,Bor,"04,566",G0,0.85,85,"10,000"
70,5.88,54 Piscium,Psc,036.1,K0,0.76,0.94,0.52
71,6.57,Mira,ο Ceti,0300,M7,1.2,370,"9,000"
72,6.65,RW Cephei,Cep,"014,000",K2,13.9,"1,158","417,000"
73,6.67,Lacaille 8760,Mic,012.87,M0,0.6,0.51,0.072
74,6.75,V838 Monocerotis,Mon,"019,896",M6,?,380 - 750,"15,000"
75,7.20,HD 140283,Lib,0202,G0IV-V,0.81,2.04,4.82
76,7.4,II Pegasi,Peg,0130,K2,0.8,3.4,1.06
77,8.05,VY Canis Majoris,CMa,"03,900",M5,17,"1,420","178,000 - 270,000"
78,8.3,Pistol Star,Sgr,"025,000",B3,100,320,"1,700,000"
79,8.6,S Doradus,Dor,"0169,000",B8,24,380,"910,000"
80,8.9,UY Scuti,Sct,"05,100",M4,7 - 10,755,"86,300 - 87,100"
81,9.5,Barnard's Star,Oph,05.98,M4,0.14,0.20,0.0035
82,11.13,HE 1523-0901,Lib,"010,000",CEMP-no,0.80,27,730
83,11.13,Proxima Centauri,Cen,04.25,M6,0.12,0.15,0.0017
84,11.71,KIC 8462852,Cyg,"01,470",F3,1.43,1.58,4.68
85,12.23,R136a1,Dor,"0163,000",WN5,290,32,"8,710,000"
86,12.78,Melnick 42,Dor,"0163,000",O2,189,21.1,"3,600,000"
87,14.10,WR 102,Sag,"018,134",WO2,19,0.39,"282,000"
88,14.38,VFTS 352,Dor,"0164,000",O5,57.48,14.47,"330,000"
89,14.68,YBP 1194,Cnc,"02,772",G5,1.01,0.99,0.98
90,14.71,Gliese 1214,Oph,047.5,M4.5,0.16,0.21,0.0033
91,16.20,Luhman 16,Vel,06.50,L7,0.03 + 0.03,?,?
92,16.6,NML Cygni,Cyg,"05,251",M6,50,"1,640 - 2,770","229,000"
93,17.30,VB 10,Aql,018.72,M8,0.075,0.10,0.0004
94,18.46,WOH G64,Dor,"0163,000",M5,<20,"1,540 - 1,730","340-589,000"
95,18.80,TRAPPIST-1,Aqr,039.6,M8,0.089,0.12,0.0005
96,21.05,2MASS J0523-1403,Lep,040.3,L2.5,0.07,0.086,0.00013
97,25,WISE 0855−0714,Hya,07.27,Y2,0.003,?,?
98,28.4,Icarus,Leo,"014,400,000,000",B?,33,?,"850,000"
99,,,,,,,,
100,0.000−26.74,Sun,,0.000015813,G2,1,1,1
101,0.001−1.46,Sirius,α CMa,0008.6,A1,2.1,1.71,25.4
102,0.003−0.74,Canopus,α Car,0310,A9,15,71,"13,500"
103,0.004−0.27,Alpha Centauri,α Cen,0004.4,G2,1.1,1.2,2
104,0.005−0.05,Arcturus,α Boo,0037,K2,1.1,26,170
105,0.03,Vega,α Lyr,0025,A0,2.2,2.7,50
106,0.08,Capella,α Aur,0043,G8,2.6,12,150
107,0.13,Rigel,β Ori,0860,B8,23,78.9,"120,000"
108,0.34,Procyon,α CMi,0011.4,F5,1.5,1.9,7.7
109, 0.45,Betelgeuse,α Ori,0640[1],M2,20,950,"60,000"
110,0.46,Achernar,α Eri,0144,B3,6.7,9.3,"3,000"
111,0.61,Hadar,β Cen,0390,B1,10.5,8.6,"42,000"
112,0.76,Altair,α Aql,0017,A7,1.8,1.8,10.5
113,0.76,Acrux,α Cru,0320,B0.5,18,8.9,"25,000"
114,0.86,Aldebaran,α Tau,0065,K5,1.5,44,520
115,0.96,Antares,α Sco,0600,M1.5,12,680,"75,000"
116,0.97,Spica,α Vir,0260,B1,11.43,7.47,"20,512"
117,1.14,Pollux,β Gem,0034,K0,1.9,8.8,43
118,1.16,Fomalhaut,α PsA,0025,A3,1.9,1.8,16.6
119,1.25,Deneb,α Cyg,"2,600",A2,19,203,"200,000"
120,1.25,Mimosa,β Crucis,0350,B0.5,16,8.4,"34,000"
121,1.39,Regulus,α Leo,0077,B7,3.8,3.1,290
122,1.50,Adhara,ε CMa,0430,B2,12.5,14,"39,000"
123,1.62,Shaula,λ Sco,0700,B2,14.5,8.8,"36,000"
124,1.62,Castor,α Gem,0052,A1,2.8,2.4,30
125,1.64,Gacrux,γ Cru,0088,M3.5,1.5,84,820
126,1.64,Bellatrix,γ Ori,0240,B2,8.6,5.8,"9,200"
127,1.65,Elnath,β Tau,0130,B7,5.0,4.2,700
128,1.69,Miaplacidus,β Car,0110,A1,3.5,6.8,290
129,1.69,Alnilam,ε Ori,"2,000",B0,32,42,"380,000"
130,1.72,Gamma Velorum,"γ1,2 Vel","01,100",WC8,9.0,6,"170,000"
131,1.74,Alnair,α Gru,0101,B7,4.0,3.4,260
132,1.77,Alioth,ε UMa,0081,A1,2.9,4.2,110
133,1.77,Alnitak,ζ Ori,01050,O9.7,33,20,"120,000"
134,1.79,Dubhe,α UMa,0120,G9,4.25,30,300
135,1.80,Mirfak,α Per,0590,F5,8.5,68,"5,000"
136,1.82,Wezen,δ CMa,"1,600",F8,17,200,"82,000"
137,1.84,Sargas,θ Sco,0270,F0,5.7,26,"1,800"
138,1.85,Kaus Australis,ε Sgr,0140,B9.5,3.5,6.8,360
139,1.86,Avior,ε Car,0630,K3,9.0,130,"60,000"
140,1.86,Alkaid,η UMa,0104,B3,6.1,3.4,"1,350"
141,1.90,Menkalinan,β Aur,081,A1,2.39,2.77,50
142,1.91,Atria,α TrA,0390,K2,7,92,"5,500"
143,1.92,Alhena,γ Gem,0109,A1.5,2.8,3.3,120
144,1.94,Peacock,α Pav,0180,B3,5.9,4.8,"2,200"
145,1.96,Alsephina[2],δ Vel,0080,A1,2.4,2.9,90
146,1.98,Mirzam,β CMa,0500,B1,13.5,10,"27,000"
147,1.98,Polaris,α UMi,0430,F8,5.4,39,"2,500"
148,2.00,Alphard,α Hya,0180,K3,3.0,50,780
149,2.23,Mintaka,δ Ori,01200,O9.5,24,16.5,"190,000"
150,2.42,Scheat,β Peg,0196,M2.5,2.1,95,"1,500"
151,2.98,Almaaz,ε Aur,0653,F0,15,140,"43,000"
152,3.35,Rasalgethi,α Her,0360,M5,2.8,280,"8,300"
153,3.50,Tau Ceti,τ Cet,011.9,G8,0.783,0.893,0.52
154,3.56,Delta Pavonis,δ Pav,019.92,G8,0.991,1.22,1.22
155,3.74,Ran,ε Eri,010.48,K2,0.82,0.74,0.34
156,3.83,V382 Carinae,Car,"08,900",G2,20,485,"212,000"
157,4,Eta Carinae,η Car,"07,500",O,100,60 - 881,"5,000,000"
158,4.07,Delta Cephei,δ Cep,0887,F5,4.5,44.5,"2,000"
159,4.08,Mu Cephei,μ Cep,"06,000",M2,19.2,972,"135,000"
160,4.09,Titawin,υ And,044.25,F8,1.27,1.48,3.57
161,4.1,Rho Cassiopeiae,ρ Cas,"08,154",G2,22,636-981,"347,000 - 530,000"
162,4.82,P Cygni,P Cyg,"05,545",B1,30,76,"610,000"
163,4.86,La Superba,CVn,"01,000",C5,,129 - 342,"2,472 - 5,800"
164,4.91,VV Cephei,Cep,"04,900",M2,18.2,"516 - 1,050","200,000"
165,5.20,61 Cygni,Cyg,011.41,K5,0.7,0.665,0.153
166,5.4,R Doradus,Dor,0178,M8,0.7 - 1.0,298,"4,350"
167,5.47,Polaris Australis,Oct,0281,F0,1.59,3.74,38
168,5.71,R Coronae Borealis,Bor,"04,566",G0,0.85,85,"10,000"
169,5.88,54 Piscium,Psc,036.1,K0,0.76,0.94,0.52
170,6.57,Mira,ο Ceti,0300,M7,1.2,370,"9,000"
171,6.65,RW Cephei,Cep,"014,000",K2,13.9,"1,158","417,000"
172,6.67,Lacaille 8760,Mic,012.87,M0,0.6,0.51,0.072
173,6.75,V838 Monocerotis,Mon,"019,896",M6,?,380 - 750,"15,000"
174,7.20,HD 140283,Lib,0202,G0IV-V,0.81,2.04,4.82
175,7.4,II Pegasi,Peg,0130,K2,0.8,3.4,1.06
176,8.05,VY Canis Majoris,CMa,"03,900",M5,17,"1,420","178,000 - 270,000"
177,8.3,Pistol Star,Sgr,"025,000",B3,100,320,"1,700,000"
178,8.6,S Doradus,Dor,"0169,000",B8,24,380,"910,000"
179,8.9,UY Scuti,Sct,"05,100",M4,7 - 10,755,"86,300 - 87,100"
180,9.5,Barnard's Star,Oph,05.98,M4,0.14,0.20,0.0035
181,11.13,HE 1523-0901,Lib,"010,000",CEMP-no,0.80,27,730
182,11.13,Proxima Centauri,Cen,04.25,M6,0.12,0.15,0.0017
183,11.71,KIC 8462852,Cyg,"01,470",F3,1.43,1.58,4.68
184,12.23,R136a1,Dor,"0163,000",WN5,290,32,"8,710,000"
185,12.78,Melnick 42,Dor,"0163,000",O2,189,21.1,"3,600,000"
186,14.10,WR 102,Sag,"018,134",WO2,19,0.39,"282,000"
187,14.38,VFTS 352,Dor,"0164,000",O5,57.48,14.47,"330,000"
188,14.68,YBP 1194,Cnc,"02,772",G5,1.01,0.99,0.98
189,14.71,Gliese 1214,Oph,047.5,M4.5,0.16,0.21,0.0033
190,16.20,Luhman 16,Vel,06.50,L7,0.03 + 0.03,?,?
191,16.6,NML Cygni,Cyg,"05,251",M6,50,"1,640 - 2,770","229,000"
192,17.30,VB 10,Aql,018.72,M8,0.075,0.10,0.0004
193,18.46,WOH G64,Dor,"0163,000",M5,<20,"1,540 - 1,730","340-589,000"
194,18.80,TRAPPIST-1,Aqr,039.6,M8,0.089,0.12,0.0005
195,21.05,2MASS J0523-1403,Lep,040.3,L2.5,0.07,0.086,0.00013
196,25,WISE 0855−0714,Hya,07.27,Y2,0.003,?,?
197,28.4,Icarus,Leo,"014,400,000,000",B?,33,?,"850,000"
198,,,,,,,,
199,0.000−26.74,Sun,,0.000015813,G2,1,1,1
200,0.001−1.46,Sirius,α CMa,0008.6,A1,2.1,1.71,25.4
201,0.003−0.74,Canopus,α Car,0310,A9,15,71,"13,500"
202,0.004−0.27,Alpha Centauri,α Cen,0004.4,G2,1.1,1.2,2
203,0.005−0.05,Arcturus,α Boo,0037,K2,1.1,26,170
204,0.03,Vega,α Lyr,0025,A0,2.2,2.7,50
205,0.08,Capella,α Aur,0043,G8,2.6,12,150
206,0.13,Rigel,β Ori,0860,B8,23,78.9,"120,000"
207,0.34,Procyon,α CMi,0011.4,F5,1.5,1.9,7.7
208, 0.45,Betelgeuse,α Ori,0640[1],M2,20,950,"60,000"
209,0.46,Achernar,α Eri,0144,B3,6.7,9.3,"3,000"
210,0.61,Hadar,β Cen,0390,B1,10.5,8.6,"42,000"
211,0.76,Altair,α Aql,0017,A7,1.8,1.8,10.5
212,0.76,Acrux,α Cru,0320,B0.5,18,8.9,"25,000"
213,0.86,Aldebaran,α Tau,0065,K5,1.5,44,520
214,0.96,Antares,α Sco,0600,M1.5,12,680,"75,000"
215,0.97,Spica,α Vir,0260,B1,11.43,7.47,"20,512"
216,1.14,Pollux,β Gem,0034,K0,1.9,8.8,43
217,1.16,Fomalhaut,α PsA,0025,A3,1.9,1.8,16.6
218,1.25,Deneb,α Cyg,"2,600",A2,19,203,"200,000"
219,1.25,Mimosa,β Crucis,0350,B0.5,16,8.4,"34,000"
220,1.39,Regulus,α Leo,0077,B7,3.8,3.1,290
221,1.50,Adhara,ε CMa,0430,B2,12.5,14,"39,000"
222,1.62,Shaula,λ Sco,0700,B2,14.5,8.8,"36,000"
223,1.62,Castor,α Gem,0052,A1,2.8,2.4,30
224,1.64,Gacrux,γ Cru,0088,M3.5,1.5,84,820
225,1.64,Bellatrix,γ Ori,0240,B2,8.6,5.8,"9,200"
226,1.65,Elnath,β Tau,0130,B7,5.0,4.2,700
227,1.69,Miaplacidus,β Car,0110,A1,3.5,6.8,290
228,1.69,Alnilam,ε Ori,"2,000",B0,32,42,"380,000"
229,1.72,Gamma Velorum,"γ1,2 Vel","01,100",WC8,9.0,6,"170,000"
230,1.74,Alnair,α Gru,0101,B7,4.0,3.4,260
231,1.77,Alioth,ε UMa,0081,A1,2.9,4.2,110
232,1.77,Alnitak,ζ Ori,01050,O9.7,33,20,"120,000"
233,1.79,Dubhe,α UMa,0120,G9,4.25,30,300
234,1.80,Mirfak,α Per,0590,F5,8.5,68,"5,000"
235,1.82,Wezen,δ CMa,"1,600",F8,17,200,"82,000"
236,1.84,Sargas,θ Sco,0270,F0,5.7,26,"1,800"
237,1.85,Kaus Australis,ε Sgr,0140,B9.5,3.5,6.8,360
238,1.86,Avior,ε Car,0630,K3,9.0,130,"60,000"
239,1.86,Alkaid,η UMa,0104,B3,6.1,3.4,"1,350"
240,1.90,Menkalinan,β Aur,081,A1,2.39,2.77,50
241,1.91,Atria,α TrA,0390,K2,7,92,"5,500"
242,1.92,Alhena,γ Gem,0109,A1.5,2.8,3.3,120
243,1.94,Peacock,α Pav,0180,B3,5.9,4.8,"2,200"
244,1.96,Alsephina[2],δ Vel,0080,A1,2.4,2.9,90
245,1.98,Mirzam,β CMa,0500,B1,13.5,10,"27,000"
246,1.98,Polaris,α UMi,0430,F8,5.4,39,"2,500"
247,2.00,Alphard,α Hya,0180,K3,3.0,50,780
248,2.23,Mintaka,δ Ori,01200,O9.5,24,16.5,"190,000"
249,2.42,Scheat,β Peg,0196,M2.5,2.1,95,"1,500"
250,2.98,Almaaz,ε Aur,0653,F0,15,140,"43,000"
251,3.35,Rasalgethi,α Her,0360,M5,2.8,280,"8,300"
252,3.50,Tau Ceti,τ Cet,011.9,G8,0.783,0.893,0.52
253,3.56,Delta Pavonis,δ Pav,019.92,G8,0.991,1.22,1.22
254,3.74,Ran,ε Eri,010.48,K2,0.82,0.74,0.34
255,3.83,V382 Carinae,Car,"08,900",G2,20,485,"212,000"
256,4,Eta Carinae,η Car,"07,500",O,100,60 - 881,"5,000,000"
257,4.07,Delta Cephei,δ Cep,0887,F5,4.5,44.5,"2,000"
258,4.08,Mu Cephei,μ Cep,"06,000",M2,19.2,972,"135,000"
259,4.09,Titawin,υ And,044.25,F8,1.27,1.48,3.57
260,4.1,Rho Cassiopeiae,ρ Cas,"08,154",G2,22,636-981,"347,000 - 530,000"
261,4.82,P Cygni,P Cyg,"05,545",B1,30,76,"610,000"
262,4.86,La Superba,CVn,"01,000",C5,,129 - 342,"2,472 - 5,800"
263,4.91,VV Cephei,Cep,"04,900",M2,18.2,"516 - 1,050","200,000"
264,5.20,61 Cygni,Cyg,011.41,K5,0.7,0.665,0.153
265,5.4,R Doradus,Dor,0178,M8,0.7 - 1.0,298,"4,350"
266,5.47,Polaris Australis,Oct,0281,F0,1.59,3.74,38
267,5.71,R Coronae Borealis,Bor,"04,566",G0,0.85,85,"10,000"
268,5.88,54 Piscium,Psc,036.1,K0,0.76,0.94,0.52
269,6.57,Mira,ο Ceti,0300,M7,1.2,370,"9,000"
270,6.65,RW Cephei,Cep,"014,000",K2,13.9,"1,158","417,000"
271,6.67,Lacaille 8760,Mic,012.87,M0,0.6,0.51,0.072
272,6.75,V838 Monocerotis,Mon,"019,896",M6,?,380 - 750,"15,000"
273,7.20,HD 140283,Lib,0202,G0IV-V,0.81,2.04,4.82
274,7.4,II Pegasi,Peg,0130,K2,0.8,3.4,1.06
275,8.05,VY Canis Majoris,CMa,"03,900",M5,17,"1,420","178,000 - 270,000"
276,8.3,Pistol Star,Sgr,"025,000",B3,100,320,"1,700,000"
277,8.6,S Doradus,Dor,"0169,000",B8,24,380,"910,000"
278,8.9,UY Scuti,Sct,"05,100",M4,7 - 10,755,"86,300 - 87,100"
279,9.5,Barnard's Star,Oph,05.98,M4,0.14,0.20,0.0035
280,11.13,HE 1523-0901,Lib,"010,000",CEMP-no,0.80,27,730
281,11.13,Proxima Centauri,Cen,04.25,M6,0.12,0.15,0.0017
282,11.71,KIC 8462852,Cyg,"01,470",F3,1.43,1.58,4.68
283,12.23,R136a1,Dor,"0163,000",WN5,290,32,"8,710,000"
284,12.78,Melnick 42,Dor,"0163,000",O2,189,21.1,"3,600,000"
285,14.10,WR 102,Sag,"018,134",WO2,19,0.39,"282,000"
286,14.38,VFTS 352,Dor,"0164,000",O5,57.48,14.47,"330,000"
287,14.68,YBP 1194,Cnc,"02,772",G5,1.01,0.99,0.98
288,14.71,Gliese 1214,Oph,047.5,M4.5,0.16,0.21,0.0033
289,16.20,Luhman 16,Vel,06.50,L7,0.03 + 0.03,?,?
290,16.6,NML Cygni,Cyg,"05,251",M6,50,"1,640 - 2,770","229,000"
291,17.30,VB 10,Aql,018.72,M8,0.075,0.10,0.0004
292,18.46,WOH G64,Dor,"0163,000",M5,<20,"1,540 - 1,730","340-589,000"
293,18.80,TRAPPIST-1,Aqr,039.6,M8,0.089,0.12,0.0005
294,21.05,2MASS J0523-1403,Lep,040.3,L2.5,0.07,0.086,0.00013
295,25,WISE 0855−0714,Hya,07.27,Y2,0.003,?,?
296,28.4,Icarus,Leo,"014,400,000,000",B?,33,?,"850,000"
297,,,,,,,,
298,0.000−26.74,Sun,,0.000015813,G2,1,1,1
299,0.001−1.46,Sirius,α CMa,0008.6,A1,2.1,1.71,25.4
300,0.003−0.74,Canopus,α Car,0310,A9,15,71,"13,500"
301,0.004−0.27,Alpha Centauri,α Cen,0004.4,G2,1.1,1.2,2
302,0.005−0.05,Arcturus,α Boo,0037,K2,1.1,26,170
303,0.03,Vega,α Lyr,0025,A0,2.2,2.7,50
304,0.08,Capella,α Aur,0043,G8,2.6,12,150
305,0.13,Rigel,β Ori,0860,B8,23,78.9,"120,000"
306,0.34,Procyon,α CMi,0011.4,F5,1.5,1.9,7.7
307, 0.45,Betelgeuse,α Ori,0640[1],M2,20,950,"60,000"
308,0.46,Achernar,α Eri,0144,B3,6.7,9.3,"3,000"
309,0.61,Hadar,β Cen,0390,B1,10.5,8.6,"42,000"
310,0.76,Altair,α Aql,0017,A7,1.8,1.8,10.5
311,0.76,Acrux,α Cru,0320,B0.5,18,8.9,"25,000"
312,0.86,Aldebaran,α Tau,0065,K5,1.5,44,520
313,0.96,Antares,α Sco,0600,M1.5,12,680,"75,000"
314,0.97,Spica,α Vir,0260,B1,11.43,7.47,"20,512"
315,1.14,Pollux,β Gem,0034,K0,1.9,8.8,43
316,1.16,Fomalhaut,α PsA,0025,A3,1.9,1.8,16.6
317,1.25,Deneb,α Cyg,"2,600",A2,19,203,"200,000"
318,1.25,Mimosa,β Crucis,0350,B0.5,16,8.4,"34,000"
319,1.39,Regulus,α Leo,0077,B7,3.8,3.1,290
320,1.50,Adhara,ε CMa,0430,B2,12.5,14,"39,000"
321,1.62,Shaula,λ Sco,0700,B2,14.5,8.8,"36,000"
322,1.62,Castor,α Gem,0052,A1,2.8,2.4,30
323,1.64,Gacrux,γ Cru,0088,M3.5,1.5,84,820
324,1.64,Bellatrix,γ Ori,0240,B2,8.6,5.8,"9,200"
325,1.65,Elnath,β Tau,0130,B7,5.0,4.2,700
326,1.69,Miaplacidus,β Car,0110,A1,3.5,6.8,290
327,1.69,Alnilam,ε Ori,"2,000",B0,32,42,"380,000"
328,1.72,Gamma Velorum,"γ1,2 Vel","01,100",WC8,9.0,6,"170,000"
329,1.74,Alnair,α Gru,0101,B7,4.0,3.4,260
330,1.77,Alioth,ε UMa,0081,A1,2.9,4.2,110
331,1.77,Alnitak,ζ Ori,01050,O9.7,33,20,"120,000"
332,1.79,Dubhe,α UMa,0120,G9,4.25,30,300
333,1.80,Mirfak,α Per,0590,F5,8.5,68,"5,000"
334,1.82,Wezen,δ CMa,"1,600",F8,17,200,"82,000"
335,1.84,Sargas,θ Sco,0270,F0,5.7,26,"1,800"
336,1.85,Kaus Australis,ε Sgr,0140,B9.5,3.5,6.8,360
337,1.86,Avior,ε Car,0630,K3,9.0,130,"60,000"
338,1.86,Alkaid,η UMa,0104,B3,6.1,3.4,"1,350"
339,1.90,Menkalinan,β Aur,081,A1,2.39,2.77,50
340,1.91,Atria,α TrA,0390,K2,7,92,"5,500"
341,1.92,Alhena,γ Gem,0109,A1.5,2.8,3.3,120
342,1.94,Peacock,α Pav,0180,B3,5.9,4.8,"2,200"
343,1.96,Alsephina[2],δ Vel,0080,A1,2.4,2.9,90
344,1.98,Mirzam,β CMa,0500,B1,13.5,10,"27,000"
345,1.98,Polaris,α UMi,0430,F8,5.4,39,"2,500"
346,2.00,Alphard,α Hya,0180,K3,3.0,50,780
347,2.23,Mintaka,δ Ori,01200,O9.5,24,16.5,"190,000"
348,2.42,Scheat,β Peg,0196,M2.5,2.1,95,"1,500"
349,2.98,Almaaz,ε Aur,0653,F0,15,140,"43,000"
350,3.35,Rasalgethi,α Her,0360,M5,2.8,280,"8,300"
351,3.50,Tau Ceti,τ Cet,011.9,G8,0.783,0.893,0.52
352,3.56,Delta Pavonis,δ Pav,019.92,G8,0.991,1.22,1.22
353,3.74,Ran,ε Eri,010.48,K2,0.82,0.74,0.34
354,3.83,V382 Carinae,Car,"08,900",G2,20,485,"212,000"
355,4,Eta Carinae,η Car,"07,500",O,100,60 - 881,"5,000,000"
356,4.07,Delta Cephei,δ Cep,0887,F5,4.5,44.5,"2,000"
357,4.08,Mu Cephei,μ Cep,"06,000",M2,19.2,972,"135,000"
358,4.09,Titawin,υ And,044.25,F8,1.27,1.48,3.57
359,4.1,Rho Cassiopeiae,ρ Cas,"08,154",G2,22,636-981,"347,000 - 530,000"
360,4.82,P Cygni,P Cyg,"05,545",B1,30,76,"610,000"
361,4.86,La Superba,CVn,"01,000",C5,,129 - 342,"2,472 - 5,800"
362,4.91,VV Cephei,Cep,"04,900",M2,18.2,"516 - 1,050","200,000"
363,5.20,61 Cygni,Cyg,011.41,K5,0.7,0.665,0.153
364,5.4,R Doradus,Dor,0178,M8,0.7 - 1.0,298,"4,350"
365,5.47,Polaris Australis,Oct,0281,F0,1.59,3.74,38
366,5.71,R Coronae Borealis,Bor,"04,566",G0,0.85,85,"10,000"
367,5.88,54 Piscium,Psc,036.1,K0,0.76,0.94,0.52
368,6.57,Mira,ο Ceti,0300,M7,1.2,370,"9,000"
369,6.65,RW Cephei,Cep,"014,000",K2,13.9,"1,158","417,000"
370,6.67,Lacaille 8760,Mic,012.87,M0,0.6,0.51,0.072
371,6.75,V838 Monocerotis,Mon,"019,896",M6,?,380 - 750,"15,000"
372,7.20,HD 140283,Lib,0202,G0IV-V,0.81,2.04,4.82
373,7.4,II Pegasi,Peg,0130,K2,0.8,3.4,1.06
374,8.05,VY Canis Majoris,CMa,"03,900",M5,17,"1,420","178,000 - 270,000"
375,8.3,Pistol Star,Sgr,"025,000",B3,100,320,"1,700,000"
376,8.6,S Doradus,Dor,"0169,000",B8,24,380,"910,000"
377,8.9,UY Scuti,Sct,"05,100",M4,7 - 10,755,"86,300 - 87,100"
378,9.5,Barnard's Star,Oph,05.98,M4,0.14,0.20,0.0035
379,11.13,HE 1523-0901,Lib,"010,000",CEMP-no,0.80,27,730
380,11.13,Proxima Centauri,Cen,04.25,M6,0.12,0.15,0.0017
381,11.71,KIC 8462852,Cyg,"01,470",F3,1.43,1.58,4.68
382,12.23,R136a1,Dor,"0163,000",WN5,290,32,"8,710,000"
